고유번호,순번,주주,관계,지분율
00366845,4,개인,계열회사 임원,0.07
00366845,5,개인,계열회사 임원,0.12
00366845,6,개인,최대주주 배우자,0.15
00366845,7,개인,최대주주 자녀,0.16
00366845,8,(주)파워로직스,계열회사,9.6
00366845,9,개인,,27.61
00366845,10,개인,,
00556907,0,"엔브이메자닌플러스 
사모투자 합자회사",최대주주,31.82
00556907,1,엔브이9홀딩스 유한회사,특관자법인,16.61
00556907,2,"엔브이글로벌코리아메자닌 
사모투자 합자회사",특관자법인,1.44
00556907,3,엔브이6홀딩스 유한회사,특관자법인,0.62
00556907,4,개인,,48.43
00556907,5,개인,,2.07
00665676,0,"키스톤앤젤스제2호
사모투자합자회사",변경 전 최대주주,0.0
00665676,1,개인,"최대주주의 특별관계자
(발행회사 임원)",0.0
00665676,2,주식회사 올인이룸,변경 후 최대주주,26.05
00665676,3,주식회사 드림이룸,"최대주주의 특별관계자
(계열회사)",1.99
00665676,4,키스톤프라이빗에쿼티(주),"최대주주의
공동보유자",9.9
00665676,5,에이치티씨코리아 주식회사,"최대주주의
공동보유자",7.18
00665676,6,제이에스팬아시아(유),"최대주주의
공동보유자",2.39
00665676,7,개인,"최대주주의 특별관계자
(발행회사 임원)",0.01
00665676,8,개인,"최대주주의 특별관계자
(발행회사 임원)",0.0
00665676,9,개인,,47.52
00665676,10,개인,,
00666204,0,개인,최대주주,38.34
00666204,1,개인,특수관계인,5.7
00666204,2,개인,특수관계인,0.32
00666204,3,개인,,44.36
00666204,4,개인,,
00799539,0,개인,최대주주 본인,24.25
00799539,1,개인,임원,0.07
00799539,2,개인,임원,0.54
00799539,3,개인,임원,0.01
00799539,4,개인,최대주주의 배우자,0.79
00799539,5,개인,최대주주의 자녀,0.03
00799539,6,개인,최대주주의 자녀,0.08
00799539,7,개인,최대주주의 자녀,0.03
00799539,8,개인,최대주주의 사위,0.01
00799539,9,개인,최대주주의 처남,0.31
00799539,10,개인,최대주주의 동서,0.22
00799539,11,개인,임원,0.55
00799539,12,개인,,26.88
00799539,13,개인,,
01105621,0,몬타나 신기술조합 제72호,최대주주,45.77
01105621,1,(주)지베이스,최상위 지배기업,0.0
01105621,2,개인,임원,0.25
01105621,3,(주)엠제이홀딩컴퍼니,-,0.0
01105621,4,개인,-,0.0
01105621,5,개인,-,0.0
01105621,6,개인,,46.02
01105621,7,개인,,
01112889,0,개인,최대주주,29.59
01112889,1,개인,등기 임원,7.19
01112889,2,개인,,36.78
01112889,3,개인,,
00355089,0,개인,보통주,30.29
00355089,1,개인,보통주,0.27
00355089,2,개인,보통주,0.09
00355089,3,개인,보통주,0.05
00355089,4,개인,,30.72
00355089,5,개인,,
00958664,0,개인,최대주주,46.87
00958664,1,개인,계열사임원,3.88
00958664,2,개인,발행회사임원,4.41
00958664,3,개인,발행회사임원,4.41
00958664,4,개인,발행회사임원,4.03
00958664,5,개인,발행회사임원,4.03
00958664,6,개인,발행회사임원,3.64
00958664,7,개인,,71.27
00958664,8,개인,,
01423916,0,개인,본인,17.06
01423916,1,개인,배우자,0.06
01423916,2,개인,자녀,0.04
01423916,3,개인,자녀,0.04
01423916,4,개인,임원,0.17
01423916,5,개인,,17.37
01423916,6,개인,,
01472930,0,개인,본인,34.14
01472930,1,개인,미등기임원,0.0
01472930,2,개인,미등기임원,0.0
01472930,3,개인,미등기임원,0.0
01472930,4,개인,미등기임원,0.0
01472930,5,개인,미등기임원,0.02
01472930,6,개인,미등기임원,0.02
01472930,7,개인,미등기임원,0.0
01472930,8,개인,미등기임원,0.0
01472930,9,개인,계열회사 임원,2.31
01472930,10,개인,계열회사 임원,0.77
01472930,11,개인,미등기임원,0.0
01472930,12,개인,계열회사 임원,0.77
01472930,13,개인,등기임원,2.3
01472930,14,개인,미등기임원,0.0
01472930,15,개인,미등기임원,0.06
01472930,16,개인,미등기임원,0.02
01472930,17,개인,등기임원,0.04
01472930,18,개인,미등기임원,0.11
01472930,19,개인,미등기임원,0.11
01472930,20,개인,,40.67
01472930,21,개인,,
01579570,0,개인,직원,29.16
01579570,1,개인,대표이사,0.42
01579570,2,개인,,29.58
01579570,3,개인,,
01203808,0,(주)APS,최대주주 본인,25.38
01203808,1,개인,특수관계인,0.02
01203808,2,개인,특수관계인,0.04
01203808,3,개인,특수관계인,0.0
01203808,4,개인,,25.44
01203808,5,개인,,0.0
01616482,0,㈜위드인베스트먼트,본인,9.56
01616482,1,개인,,9.56
01616482,2,개인,,
00765897,0,개인,최대주주본인,32.7
00765897,1,개인,친족,0.17
00765897,2,개인,친족,0.17
00765897,3,개인,친족,3.37
00765897,4,개인,등기임원,11.41
00765897,5,개인,등기임원,0.88
00765897,6,한국피아이엠(주),자기주식,0.0
00765897,7,개인,,48.69
00765897,8,개인,,
00301112,0,개인,최대주주 본인,17.91
00301112,1,개인,친인척,13.68
00301112,2,개인,친인척,4.97
00301112,3,개인,친인척,1.96
00301112,4,개인,발행회사 임원,0.05
00301112,5,개인,,38.57
00301112,6,개인,,
01408999,0,개인,최대주주,24.93
01408999,1,개인,관계회사 등기임원,0.25
01408999,2,개인,배우자,1.22
01408999,3,개인,자녀,1.96
01408999,4,개인,자녀,1.64
01408999,5,(주)엠알씨이,배우자 인척,7.93
01408999,6,개인,등기임원,2.41
01408999,7,개인,미등기임원,1.63
01408999,8,개인,미등기임원,2.58
01408999,9,개인,미등기임원,0.54
01408999,10,개인,미등기임원,0.26
01408999,11,개인,미등기임원,0.03
01408999,12,개인,미등기임원,0.02
01408999,13,개인,관계회사 등기임원,0.09
01408999,14,개인,,45.47
01408999,15,개인,,
01023211,0,개인,최대주주 본인,29.2
01023211,1,개인,공동보유자,7.59
01023211,2,개인,공동보유자,5.63
01023211,3,개인,공동보유자,0.83
01023211,4,개인,공동보유자,3.16
01023211,5,개인,사내이사,0.01
01023211,6,개인,,
01023211,7,개인,,46.42
00204208,0,(주)이지홀딩스,본인,30.0
00204208,1,(주)이지홀딩스,본인,0.0
00204208,2,개인,,30.0
00204208,3,개인,,0.0
01032413,0,해성산업(주),최대주주 본인,34.0
01032413,1,개인,본인의 임원,2.19
01032413,2,개인,본인의 임원,0.12
01032413,3,개인,,36.31
01032413,4,개인,,
00927558,0,㈜바이오노트,본인,19.92
00927558,1,개인,특수관계인,0.06
00927558,2,SDB인베스트먼트㈜,특수관계인,0.05
00927558,3,개인,,20.03
00927558,4,개인,,
00414540,0,개인,본인,44.39
00414540,1,개인,관계회사,13.92
00414540,2,개인,모,0.0
00414540,3,개인,매부,8.97
00414540,4,개인,제,4.96
00414540,5,개인,제,4.5
00414540,6,개인,관계회사,2.43
00414540,7,개인,자녀,0.46
00414540,8,개인,자녀,0.19
00414540,9,개인,,
00414540,10,개인,,79.8
00574611,0,개인,최대주주,5.88
00574611,1,개인,최대주주 특수관계인,0.37
00574611,2,개인,대표이사,0.26
00574611,3,개인,최대주주 특수관계인,0.24
00574611,4,파인태양광(주),최대주주 특수관계인,0.14
00574611,5,개인,최대주주 특수관계인,0.11
00574611,6,개인,임원,0.01
00574611,7,개인,최대주주 특수관계인,1.13
00574611,8,개인,최대주주 특수관계인,0.88
00574611,9,개인,최대주주 특수관계인,0.85
00574611,10,개인,최대주주 특수관계인,0.85
00574611,11,개인,최대주주 특수관계인,0.59
00574611,12,개인,대표이사,0.59
00574611,13,개인,임원,0.0
00574611,14,개인,최대주주 특수관계인,0.39
00574611,15,개인,,12.3
00574611,16,개인,,
00613318,0,개인,최대주주,19.33
00613318,1,개인,특수관계인,3.47
00613318,2,개인,특수관계인,0.08
00613318,3,개인,특수관계인,0.04
00613318,4,개인,특수관계인,0.01
00613318,5,개인,특수관계인,0.02
00613318,6,개인,,22.95
00613318,7,개인,,
00127699,0,밸류인포맥스(주),최대주주,19.57
00127699,1,시너지파트너스(주),특수관계인,2.2
00127699,2,개인,특수관계인,6.79
00127699,3,개인,,28.56
00127699,4,개인,,
00638539,0,개인,최대주주,34.05
00638539,1,개인,대표이사,0.05
00638539,2,우리사주조합,임직원,0.02
00638539,3,개인,,
00638539,4,개인,,34.12
01363924,0,(주)지피클럽,최대주주,55.77
01363924,1,개인,대표이사,23.01
01363924,2,개인,등기임원,0.68
01363924,3,개인,,79.46
01363924,4,개인,,
01563922,0,개인,본인,46.91
01563922,1,개인,임원,0.02
01563922,2,개인,임원,0.03
01563922,3,개인,임원,0.09
01563922,4,개인,자녀,3.45
01563922,5,개인,자녀,3.29
01563922,6,개인,임원,0.13
01563922,7,개인,임원,0.11
01563922,8,개인,임원,0.16
01563922,9,개인,임원,0.12
01563922,10,개인,임원,0.02
01563922,11,개인,임원,0.0
01563922,12,개인,,54.33
01563922,13,개인,,
00113234,0,개인,본인,23.28
00113234,1,개인,특수관계인,0.13
00113234,2,개인,특수관계인,0.08
00113234,3,개인,특수관계인,0.0
00113234,4,개인,특수관계인,0.0
00113234,5,티에스문화재단,특수관계인,0.94
00113234,6,개인,친인척,14.16
00113234,7,개인,친인척,9.52
00113234,8,개인,특수관계인,0.03
00113234,9,개인,특수관계인,0.05
00113234,10,개인,특수관계인,0.03
00113234,11,개인,특수관계인,0.02
00113234,12,개인,특수관계인,0.0
00113234,13,개인,특수관계인,0.02
00113234,14,개인,,48.24
00113234,15,개인,,48.24
00140566,0,개인,최대주주,37.49
00140566,1,개인,특수관계인,0.98
00140566,2,개인,특수관계인,0.55
00140566,3,개인,,39.02
00140566,4,개인,,
00121941,0,개인,최대주주 임원,0.16
00121941,1,대상문화재단,계열회사,3.82
00121941,2,대상홀딩스,최대주주,39.28
00121941,3,대상홀딩스,최대주주,6.5
00121941,4,개인,최대주주 임원,0.46
00121941,5,개인,,43.72
00121941,6,개인,,6.5
00192499,0,(주)이지홀딩스,본인,48.72
00192499,1,개인,,48.72
00192499,2,개인,,
00241209,0,MINEBEAMITSUMI.INC,본인,50.85
00241209,1,개인,,50.85
00241209,2,개인,,
00242378,0,개인,본인,28.57
00242378,1,개인,특수관계,1.02
00242378,2,개인,특수관계,0.11
00242378,3,(주)아날로그,특수관계,22.52
00242378,4,개인,특수관계,0.01
00242378,5,개인,,52.22
00242378,6,개인,,
00370006,0,(주)문화방송,최대주주,58.13
00370006,1,개인,대표이사,0.04
00370006,2,개인,이사,0.0
00370006,3,개인,"최대주주
임원",0.07
00370006,4,개인,,58.24
00370006,5,개인,,
00142661,0,개인,최대주주,12.73
00142661,1,개인,친인척,0.36
00142661,2,개인,친인척,0.11
00142661,3,개인,친인척,0.5
00142661,4,개인,계열회사,1.64
00142661,5,개인,계열회사,3.46
00142661,6,개인,계열회사,2.44
00142661,7,개인,친인척,1.14
00142661,8,개인,친인척,6.31
00142661,9,개인,친인척,6.35
00142661,10,개인,친인척,0.16
00142661,11,개인,친인척,0.91
00142661,12,개인,친인척,1.76
00142661,13,개인,친인척,0.55
00142661,14,개인,친인척,0.02
00142661,15,개인,,38.43
00142661,16,개인,,38.43
01226270,0,개인,본인,35.84
01226270,1,개인,친인척,12.04
01226270,2,개인,친인척,11.53
01226270,3,개인,친인척,11.53
01226270,4,개인,친인척,0.02
01226270,5,개인,기타,0.02
01226270,6,개인,,70.97
01226270,7,개인,,
00158149,0,개인,투자법인,53.85
00158149,1,개인,,53.85
00158149,2,개인,,
00127158,0,(주)씨엔씨기술,본인,22.2
00127158,1,개인,대표이사,0.87
00127158,2,(주)케이엠기술,주주,2.35
00127158,3,개인,계열회사등 임원,0.32
00127158,4,개인,계열회사등 임원,0.32
00127158,5,개인,계열회사등 임원,0.26
00127158,6,개인,계열회사등 임원,0.0
00127158,7,개인,계열회사등 임원,0.14
00127158,8,개인,계열회사등 임원,0.01
00127158,9,개인,,26.47
00127158,10,개인,,
00220622,0,개인,본인,54.32
00220622,1,개인,처,0.35
00220622,2,개인,자,0.94
00220622,3,개인,이사,1.81
00220622,4,개인,이사,0.62
00220622,5,개인,-,12.25
00220622,6,개인,,70.29
00220622,7,개인,,
01714997,0,농협은행(주),최대주주 본인,16.6
01714997,1,농협은행(주),최대주주 본인,16.6
01714997,2,개인,,16.6
01714997,3,개인,,
01714997,4,개인,,16.6
01714997,5,개인,,
00681373,0,한국렌탈(주),최대주주,41.56
00681373,1,(주)드림디엔에스,특수관계인,4.19
00681373,2,개인,등기임원,0.34
00681373,3,개인,특수관계인,0.98
00681373,4,(주)디지캡,-,0.13
00681373,5,개인,,47.2
00681373,6,개인,,
01353024,0,(주)이제이앤피,본인,17.98
01353024,1,개인,,17.98
01353024,2,개인,,
00445841,0,㈜플레이그램,최대주주,25.5
00445841,1,㈜안컴퍼니,최대주주의 특수관계인,0.0
00445841,2,개인,,25.5
00445841,3,개인,,0.0
00446479,0,개인,본인,42.49
00446479,1,개인,,42.49
00446479,2,개인,,
00370255,0,(주)비에이치,최대주주 본인,33.4
00370255,1,(주)디케이티,특수관계인,11.65
00370255,2,개인,특수관계인,0.23
00370255,3,개인,,45.28
00370255,4,개인,,
00298447,0,개인,본인,18.19
00298447,1,개인,배우자,4.76
00298447,2,개인,임원,4.43
00298447,3,개인,임원,0.04
00298447,4,개인,,27.42
00298447,5,개인,,
00863038,0,드래곤인베스트조합,최대주주,20.64
00863038,1,개인,,20.64
00863038,2,개인,,
00291152,0,(주)비엠에스,최대주주,28.37
00291152,1,개인,특수관계,0.0
00291152,2,개인,특수관계,0.16
00291152,3,개인,특수관계,0.08
00291152,4,개인,,28.61
00291152,5,개인,,
01492688,0,개인,본인,56.55
01492688,1,개인,임원,0.14
01492688,2,개인,임원,0.05
01492688,3,개인,임원,0.1
01492688,4,개인,임원,0.04
01492688,5,개인,,56.88
01492688,6,개인,,
01153105,0,개인,본인,30.88
01153105,1,개인,임원,0.2
01153105,2,개인,임원,0.6
01153105,3,개인,임원,0.2
01153105,4,개인,임원,0.0
01153105,5,개인,임원,0.54
01153105,6,개인,대표이사관계회사,7.64
01153105,7,개인,,40.07
01153105,8,개인,,
00816933,0,개인,최대주주 본인,30.48
00816933,1,개인,미등기임원,0.08
00816933,2,(주)다인스,특수관계사,0.67
00816933,3,개인,"최대주주의
친인척",0.0
00816933,4,개인,최대주주의 母,0.0
00816933,5,개인,최대주주의 妻,2.8
00816933,6,개인,"최대주주의
친인척",0.89
00816933,7,개인,최대주주의 子,3.03
00816933,8,개인,최대주주의 子,3.03
00816933,9,개인,"최대주주의
친인척",0.89
00816933,10,개인,등기임원,15.6
00816933,11,개인,등기임원,0.06
00816933,12,개인,미등기임원,0.03
00816933,13,개인,,57.54
00816933,14,개인,,
00149345,0,(주)오뚜기,본인,48.92
00149345,1,개인,기타,0.83
00149345,2,개인,기타,0.81
00149345,3,개인,기타,0.81
00149345,4,(주)애드리치,계열사,1.67
00149345,5,알디에스(주),계열사,0.27
00149345,6,(재)오뚜기함태호재단,기타,5.0
00149345,7,개인,계열사 임원,0.25
00149345,8,개인,최대주주 임원,6.98
00149345,9,개인,기타,0.83
00149345,10,개인,기타,0.83
00149345,11,개인,기타,2.45
00149345,12,개인,,67.2
00149345,13,개인,,
00449254,0,한화에어로스페이스(주),본인,33.63
00449254,1,개인,계열회사 임원,1.33
00449254,2,개인,계열회사 임원,1.35
00449254,3,개인,계열회사 임원,1.09
00449254,4,개인,계열회사 임원,0.0
00449254,5,개인,계열회사 임원,0.12
00449254,6,개인,,37.52
00449254,7,개인,,
00545734,0,마가파트너스투자조합,최대주주,3.9
00545734,1,개인,대표이사,0.26
00545734,2,개인,등기임원,0.11
00545734,3,개인,등기임원,0.02
00545734,4,개인,등기임원,0.29
00545734,5,개인,,4.59
00545734,6,개인,,
00560849,0,개인,본인,33.28
00560849,1,개인,배우자,5.19
00560849,2,개인,자,5.43
00560849,3,개인,임원,0.27
00560849,4,개인,,44.16
00560849,5,개인,,100.0
00428321,0,(주)크라운해태홀딩스,최대주주,60.0
00428321,1,개인,특수관계인,0.1
00428321,2,(주)한국포장,특수관계인,0.1
00428321,3,(주)두라푸드,특수관계인,0.3
00428321,4,개인,특수관계인,1.4
00428321,5,개인,,61.9
00428321,6,개인,,
00397252,0,(주)엔드림,최대주주(본인),33.76
00397252,1,(유)퓨처큐브,최대주주의 특수관계인,1.09
00397252,2,개인,최대주주의 주요주주,0.17
00397252,3,개인,임원,0.34
00397252,4,개인,,35.37
00397252,5,개인,,
00435969,0,(주)솔본,최대주주,48.66
00435969,1,개인,특수관계인,0.11
00435969,2,(주)포커스신문사,특수관계인,0.03
00435969,3,(주)솔본미디어,특수관계인,0.06
00435969,4,㈜알에이지,특수관계인,1.63
00435969,5,개인,,50.5
00435969,6,개인,,
00108913,0,㈜대교홀딩스,본인,54.51
00108913,1,개인,기타비상무이사,0.0
00108913,2,개인,계열사임원,0.0
00108913,3,개인,계열사임원,0.0
00108913,4,㈜크리스탈원,관계회사,9.56
00108913,5,세계청소년문화재단,공익법인,4.79
00108913,6,개인,최대주주,13.26
00108913,7,개인,대표이사,0.03
00108913,8,개인,대표이사,0.3
00108913,9,개인,기타,1.48
00108913,10,개인,기타,1.43
00108913,11,㈜크리스탈원,관계회사,0.02
00108913,12,개인,기타,1.39
00108913,13,개인,기타,1.39
00108913,14,개인,기타,0.07
00108913,15,개인,기타비상무이사,0.0
00108913,16,개인,기타비상무이사,0.02
00108913,17,개인,계열사임원,0.0
00108913,18,대교문화재단,공익법인,3.52
00108913,19,개인,최대주주,8.43
00108913,20,개인,대표이사,0.03
00108913,21,개인,대표이사,0.03
00108913,22,개인,기타,0.02
00108913,23,개인,계열사임원,0.0
00108913,24,개인,기타비상무이사,0.0
00108913,25,개인,,66.56
00108913,26,개인,,33.72
00254045,0,우리금융지주,최대주주,100.0
00254045,1,개인,,
00254045,2,개인,,100.0
00576798,0,개인,본인,26.35
00576798,1,개인,미등기임원,0.02
00576798,2,개인,미등기임원,0.03
00576798,3,개인,미등기임원,0.01
00576798,4,개인,친인척,0.18
00576798,5,개인,등기임원,9.92
00576798,6,개인,미등기임원,0.94
00576798,7,개인,미등기임원,0.47
00576798,8,개인,미등기임원,0.34
00576798,9,개인,미등기임원,0.24
00576798,10,개인,미등기임원,0.26
00576798,11,개인,미등기임원,0.08
00576798,12,개인,미등기임원,0.16
00576798,13,개인,,39.0
00576798,14,개인,,
00592653,0,개인,본인,19.32
00592653,1,개인,임원,0.11
00592653,2,개인,임원,0.53
00592653,3,개인,임원,0.5
00592653,4,개인,임원,0.19
00592653,5,개인,계열회사 임원,0.05
00592653,6,개인,계열회사,8.96
00592653,7,개인,,29.66
00592653,8,개인,,
00116824,0,개인,본인,29.26
00116824,1,개인,발행회사임원,0.0
00116824,2,개인,재단,0.48
00116824,3,수석문화재단,재단,0.42
00116824,4,일호재단,재단,0.14
00116824,5,개인,발행회사임원,0.02
00116824,6,개인,발행회사임원,0.0
00116824,7,개인,발행회사임원,0.0
00116824,8,개인,발행회사임원,0.0
00116824,9,개인,발행회사임원,0.0
00116824,10,개인,발행회사임원,0.0
00116824,11,개인,발행회사임원,0.0
00116824,12,개인,발행회사임원,0.0
00116824,13,개인,,30.31
00116824,14,개인,,
00956930,0,개인,본인,0.32
00956930,1,개인,발행회사 임원,0.0
00956930,2,개인,발행회사 임원,0.0
00956930,3,개인,발행회사 임원,0.0
00956930,4,개인,발행회사 임원,0.0
00956930,5,개인,발행회사 임원,0.0
00956930,6,개인,발행회사 임원,0.0
00956930,7,개인,발행회사 임원,0.0
00956930,8,동아쏘시오홀딩스,계열사,26.16
00956930,9,개인,재단,0.34
00956930,10,수석문화재단,재단,0.49
00956930,11,개인,발행회사 임원,0.0
00956930,12,개인,발행회사 임원,0.0
00956930,13,개인,발행회사 임원,0.0
00956930,14,개인,발행회사 임원,0.0
00956930,15,개인,발행회사 임원,0.0
00956930,16,개인,계열사 임원,0.07
00956930,17,개인,계열사 임원,0.0
00956930,18,개인,발행회사 임원,0.0
00956930,19,개인,발행회사 임원,0.0
00956930,20,개인,발행회사 임원,0.0
00956930,21,개인,발행회사 임원,0.0
00956930,22,개인,,27.15
00956930,23,개인,,
01601222,0,개인,본인,35.99
01601222,1,개인,최대주주의 부,21.63
01601222,2,개인,최대주주의 모,13.86
01601222,3,개인,,71.48
01601222,4,개인,,
00299844,0,개인,최대주주,68.12
00299844,1,개인,특수관계인,5.43
00299844,2,개인,특수관계인,0.0
00299844,3,개인,특수관계인,0.0
00299844,4,개인,특수관계인,0.0
00299844,5,개인,,73.55
00299844,6,개인,,
00650771,0,㈜다노코프,최대주주(주1),25.9
00650771,1,일신방직(주),(주2),24.28
00650771,2,㈜다노인터내셔널,(주3),11.43
00650771,3,개인,대표이사,6.77
00650771,4,개인,"대표이사의 
배우자",2.43
00650771,5,개인,"대표이사의 
자녀",1.94
00650771,6,개인,"대표이사 
배우자의 형제",0.81
00650771,7,개인,김인숙의 자녀,0.49
00650771,8,개인,김인숙의 자녀,0.49
00650771,9,개인,,74.53
00650771,10,개인,,
00579139,0,개인,대표이사,30.82
00579139,1,개인,"임원
(미등기)",24.48
00579139,2,개인,,55.3
00579139,3,개인,,
00986898,0,개인,본인,50.5
00986898,1,(주)헬스클릭,관계사,10.88
00986898,2,개인,배우자,1.56
00986898,3,개인,자녀,1.15
00986898,4,개인,자녀,0.92
00986898,5,개인,형제,0.16
00986898,6,개인,형제,0.16
00986898,7,개인,,65.33
00986898,8,개인,,
01167056,0,샘표 주식회사,최대주주,49.38
01167056,1,개인,기타,0.59
01167056,2,개인,기타,0.55
01167056,3,개인,임원,0.2
01167056,4,개인,임원,0.03
01167056,5,개인,기타,5.53
01167056,6,개인,기타,0.75
01167056,7,개인,기타,0.68
01167056,8,개인,기타,0.66
01167056,9,개인,기타,0.66
01167056,10,개인,기타,0.66
01167056,11,개인,,59.69
01167056,12,개인,,
01205329,0,"(주)크라운
  해태홀딩스",본인,39.5
01205329,1,"(주)크라운
  해태홀딩스",본인,4.94
01205329,2,개인,특수,20.26
01205329,3,개인,특수,0.6
01205329,4,개인,특수,1.57
01205329,5,개인,특수,0.32
01205329,6,개인,임원,0.04
01205329,7,(주)두라푸드,특수,1.15
01205329,8,개인,,61.68
01205329,9,개인,,6.69
01632912,0,제일약품(주),최대주주,44.95
01632912,1,에스앤피 혁신기술 1호 조합,최대주주의특수관계인,6.33
01632912,2,개인,등기임원,0.34
01632912,3,개인,비등기임원,0.34
01632912,4,개인,비등기임원,0.11
01632912,5,개인,,52.07
01632912,6,개인,,
00101488,0,(주)경동원,최대주주,56.72
00101488,1,개인,특수관계인,0.89
00101488,2,개인,,57.61
00101488,3,개인,,
00158565,0,KC&A(주),본 인,34.01
00158565,1,개인,특수관계인,2.81
00158565,2,개인,특수관계인,1.3
00158565,3,개인,특수관계인,1.3
00158565,4,개인,특수관인,0.01
00158565,5,개인,,39.44
00158565,6,개인,,
00200910,0,(주)파워넷,최대주주,37.97
00200910,1,(주)티사이언티픽,주요주주,7.11
00200910,2,개인,특수관계인,0.0
00200910,3,개인,,
00200910,4,개인,,45.08
00125521,0,개인,본인,26.46
00125521,1,"(재)에스엘이충곤재단
주1)",기타,3.85
00125521,2,개인,친족,14.68
00125521,3,개인,친족,10.0
00125521,4,개인,친족,0.42
00125521,5,개인,친족,0.32
00125521,6,개인,친족,5.0
00125521,7,개인,친족,1.1
00125521,8,개인,친족,0.79
00125521,9,개인,친족,0.31
00125521,10,개인,,62.92
00125521,11,개인,,
00329093,0,(주)코앤컴,본인,49.26
00329093,1,코튼클럽(주),특수관계인,9.83
00329093,2,비에스투코리아(주),특수관계인,0.95
00329093,3,"(주)씨티앤컴바인
(구, 제이앤지산)",특수관계인,0.0
00329093,4,개인,특수관계인,0.0
00329093,5,개인,특수관계인,0.02
00329093,6,개인,특수관계인,0.0
00329093,7,개인,특수관계인,0.0
00329093,8,개인,,60.06
00329093,9,개인,,
00528515,0,개인,본인,16.53
00528515,1,개인,특수관계인,16.53
00528515,2,개인,특수관계인,3.85
00528515,3,개인,특수관계인,3.85
00528515,4,개인,특수관계인,3.85
00528515,5,개인,특수관계인,3.85
00528515,6,개인,특수관계인,0.09
00528515,7,개인,특수관계인,0.06
00528515,8,(주)미래하이테크,특수관계인,9.18
00528515,9,개인,,57.78
00528515,10,개인,,
00145190,0,개인,본인,22.12
00145190,1,개인,조카,2.13
00145190,2,개인,조카,0.4
00145190,3,개인,조카,2.18
00145190,4,개인,조카,0.4
00145190,5,개인,조카,2.14
00145190,6,개인,형,2.67
00145190,7,개인,형,6.05
00145190,8,개인,형수,0.64
00145190,9,개인,형수,0.0
00145190,10,개인,조카,0.0
00145190,11,개인,본인,0.46
00145190,12,개인,조카,0.06
00145190,13,개인,조카,0.08
00145190,14,개인,조카,0.73
00145190,15,개인,조카,1.0
00145190,16,개인,조카,5.75
00145190,17,개인,자녀,1.47
00145190,18,개인,자녀,0.44
00145190,19,개인,자녀,6.56
00145190,20,개인,자녀,2.67
00145190,21,개인,자녀,1.11
00145190,22,개인,처,2.21
00145190,23,개인,자녀,0.29
00145190,24,개인,형수,0.39
00145190,25,개인,형수,0.0
00145190,26,개인,특수관계인,0.62
00145190,27,개인,특수관계인,3.22
00145190,28,성보문화재단,특수관계인,2.53
00145190,29,성보문화재단,특수관계인,17.37
00145190,30,개인,특수관계인,0.5
00145190,31,개인,특수관계인,2.99
00145190,32,사회복지법인 여송,특수관계인,1.35
00145190,33,개인,처,2.18
00145190,34,사회복지법인 여송,특수관계인,4.29
00145190,35,개인,특수관계인,0.0
00145190,36,개인,특수관계인,0.8
00145190,37,개인,특수관계인,0.0
00145190,38,개인,특수관계인,1.03
00145190,39,개인,특수관계인,0.0
00145190,40,개인,특수관계인,2.83
00145190,41,개인,형수,1.06
00145190,42,개인,형수,0.59
00145190,43,개인,형,3.53
00145190,44,개인,형,3.26
00145190,45,개인,조카,0.4
00145190,46,개인,,49.05
00145190,47,개인,,61.47
00910202,0,개인,본인,38.8
00910202,1,개인,처,18.6
00910202,2,개인,자녀,0.83
00910202,3,(주)건보,-,7.01
00910202,4,개인,,58.3
00910202,5,개인,,6.54
00442154,0,개인,본인,15.22
00442154,1,개인,임원,0.91
00442154,2,개인,임원,0.6
00442154,3,개인,임원,0.08
00442154,4,제이엔케이글로벌(주),자기주식,0.16
00442154,5,개인,,16.97
00442154,6,개인,,
01085187,0,개인,본인,35.65
01085187,1,개인,친척,4.01
01085187,2,개인,타인,0.08
01085187,3,개인,,39.74
01085187,4,개인,,
01453670,0,개인,본인,31.21
01453670,1,개인,친인척,6.39
01453670,2,개인,,37.6
01453670,3,개인,,
00101549,0,개인,최대주주 본인,17.51
00101549,1,㈜알피에이치코리아,관계 법인,0.71
00101549,2,개인,최대주주의 친인척,0.68
00101549,3,개인,최대주주의 친인척,0.68
00101549,4,개인,최대주주의 친인척,0.64
00101549,5,개인,최대주주의 친인척,0.63
00101549,6,개인,최대주주의 친인척,0.58
00101549,7,개인,최대주주의 친인척,0.58
00101549,8,개인,최대주주의 친인척,0.53
00101549,9,개인,최대주주의 친인척,0.52
00101549,10,개인,최대주주의 친인척,0.42
00101549,11,(재)송천재단,관계 법인,4.96
00101549,12,개인,최대주주의 배우자,0.41
00101549,13,개인,최대주주의 친인척,0.26
00101549,14,개인,최대주주의 친인척,0.23
00101549,15,개인,최대주주의 친인척,0.23
00101549,16,개인,최대주주의 친인척,0.23
00101549,17,개인,최대주주의 친인척,0.23
00101549,18,개인,최대주주의 친인척,0.2
00101549,19,개인,최대주주의 자녀,0.2
00101549,20,개인,최대주주의 친인척,0.19
00101549,21,개인,최대주주의 친인척,0.15
00101549,22,사내근로복지기금,관계 기금,3.77
00101549,23,개인,최대주주의 친인척,0.15
00101549,24,개인,최대주주의 친인척,0.15
00101549,25,개인,최대주주의 친인척,0.13
00101549,26,개인,발행회사 임원,0.11
00101549,27,개인,최대주주의 친인척,0.11
00101549,28,개인,발행회사 임원,0.1
